trial,elapsed_s,imgsz,track_high_thresh,track_low_thresh,new_track_thresh,proximity_thresh,appearance_thresh,conf_threshold,relink_iou_thresh,relink_dist_thresh,gmm_max_lost,gmm_search_pad,gmm_min_blob_area,iou_match_threshold,fps_multiply,lost_frames_before_gmm,gmm_history,gmm_var_threshold,bg_subtractor,edge_margin,edge_search_pad,edge_kill_margin,track_buffer,match_thresh,with_reid,gmc_method,fuse_score,gt1_HOTA,gt1_MOTA,gt1_MOTP,gt1_IDF1,gt1_MT,gt1_ML,gt1_GT_tracks,gt1_TP,gt1_FP,gt1_FN,gt1_IDS,gt1_Frag,gt1_GT_dets,gt2_HOTA,gt2_MOTA,gt2_MOTP,gt2_IDF1,gt2_MT,gt2_ML,gt2_GT_tracks,gt2_TP,gt2_FP,gt2_FN,gt2_IDS,gt2_Frag,gt2_GT_dets,gt3_HOTA,gt3_MOTA,gt3_MOTP,gt3_IDF1,gt3_MT,gt3_ML,gt3_GT_tracks,gt3_TP,gt3_FP,gt3_FN,gt3_IDS,gt3_Frag,gt3_GT_dets,gt1_vec_angle_diff,gt1_vec_conf_gt,gt1_vec_conf_pred,gt1_vec_n_gt,gt1_vec_n_pred,gt2_vec_angle_diff,gt2_vec_conf_gt,gt2_vec_conf_pred,gt2_vec_n_gt,gt2_vec_n_pred,gt3_vec_angle_diff,gt3_vec_conf_gt,gt3_vec_conf_pred,gt3_vec_n_gt,gt3_vec_n_pred,avg_HOTA,avg_MOTA,avg_IDF1,avg_vec_angle_diff
1316,252.5,1280,0.1,0.05,0.2,0.4,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1317,252.7,1280,0.1,0.05,0.2,0.4,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1318,252.9,1280,0.1,0.05,0.2,0.6,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1319,252.5,1280,0.1,0.05,0.2,0.6,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1320,253.0,1280,0.1,0.05,0.2,0.6,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1321,253.1,1280,0.1,0.05,0.2,0.8,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1322,252.7,1280,0.1,0.05,0.2,0.8,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1323,252.2,1280,0.1,0.05,0.2,0.8,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.38,47.46,65.16,73.63,0,7,13,1618,571,588,0,86,2206,63.56,33.35,69.31,58.98,1,3,9,800,243,870,0,28,1670,77.22,45.48,73.49,75.46,1,1,6,1800,823,348,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.72,42.1,69.36,34.34
1279,252.5,1280,0.1,0.01,0.3,0.4,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1280,253.4,1280,0.1,0.01,0.3,0.4,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1281,252.6,1280,0.1,0.01,0.3,0.4,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1282,251.6,1280,0.1,0.01,0.3,0.6,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1283,252.3,1280,0.1,0.01,0.3,0.6,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1284,252.0,1280,0.1,0.01,0.3,0.6,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1285,252.1,1280,0.1,0.01,0.3,0.8,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1286,251.7,1280,0.1,0.01,0.3,0.8,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1287,252.2,1280,0.1,0.01,0.3,0.8,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1324,252.4,1280,0.1,0.05,0.3,0.4,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1325,252.6,1280,0.1,0.05,0.3,0.4,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1326,252.6,1280,0.1,0.05,0.3,0.4,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1327,252.5,1280,0.1,0.05,0.3,0.6,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1328,253.5,1280,0.1,0.05,0.3,0.6,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1329,252.5,1280,0.1,0.05,0.3,0.6,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1330,251.9,1280,0.1,0.05,0.3,0.8,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1331,251.2,1280,0.1,0.05,0.3,0.8,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1332,251.6,1280,0.1,0.05,0.3,0.8,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.14,46.65,64.96,73.26,0,7,13,1611,581,595,1,82,2206,63.7,33.59,69.25,59.14,1,3,9,802,240,868,1,27,1670,77.28,45.67,73.54,75.46,1,1,6,1794,813,354,0,26,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.71,41.97,69.29,34.34
1261,255.2,1280,0.1,0.01,0.1,0.4,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1262,252.8,1280,0.1,0.01,0.1,0.4,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1263,253.7,1280,0.1,0.01,0.1,0.4,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1264,253.1,1280,0.1,0.01,0.1,0.6,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1265,253.6,1280,0.1,0.01,0.1,0.6,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1266,253.0,1280,0.1,0.01,0.1,0.6,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1267,252.7,1280,0.1,0.01,0.1,0.8,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1268,253.4,1280,0.1,0.01,0.1,0.8,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1269,253.3,1280,0.1,0.01,0.1,0.8,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1306,252.7,1280,0.1,0.05,0.1,0.4,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1307,253.2,1280,0.1,0.05,0.1,0.4,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
1308,253.6,1280,0.1,0.05,0.1,0.4,0.5,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,False,sparseOptFlow,True,74.49,47.87,65.2,73.77,0,7,13,1617,561,589,0,86,2206,63.11,32.63,69.28,58.59,1,3,9,795,249,875,1,31,1670,77.25,45.58,73.48,75.5,1,1,6,1801,822,347,0,29,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,57.65,0.503,1.0,2,1,71.62,42.03,69.29,34.34
